; ======================================================== LFRN AVISO ========================================================

[GEO]

LFRN AVISO N048.04.22.557 W001.43.17.632 N048.04.20.289 W001.43.22.514 COLOR_Taxiway
N048.03.54.164 W001.44.03.924
N048.03.54.171 W001.44.04.253
N048.03.54.317 W001.44.04.619
N048.04.12.052 W001.44.25.238
N048.04.11.454 W001.44.26.332
N048.03.49.689 W001.44.01.026

REGIONNAME LFRN AVISO
COLOR_RunwayConcrete N048.03.53.192 W001.43.56.783
N048.03.52.067 W001.43.55.507
N048.03.52.836 W001.43.54.007
N048.03.53.951 W001.43.55.312

REGIONNAME LFRN AVISO
COLOR_Building N048.04.25.974 W001.43.30.524
N048.04.26.091 W001.43.31.419
N048.04.26.261 W001.43.31.372
N048.04.27.073 W001.43.37.747
N048.04.26.085 W001.43.38.051
N048.04.25.168 W001.43.30.743

REGIONNAME LFRN AVISO
COLOR_Building N048.04.24.518 W001.43.28.049
N048.04.24.209 W001.43.25.623
N048.04.24.765 W001.43.25.506
N048.04.25.054 W001.43.27.898

REGIONNAME LFRN AVISO
COLOR_Building N048.04.05.398 W001.43.19.473
N048.04.06.906 W001.43.19.069
N048.04.07.017 W001.43.20.030
N048.04.05.497 W001.43.20.401

REGIONNAME LFRN AVISO
COLOR_Building N048.04.03.969 W001.43.20.388
N048.04.05.110 W001.43.20.088
N048.04.05.385 W001.43.22.159
N048.04.04.246 W001.43.22.454

REGIONNAME LFRN AVISO
COLOR_Building N048.04.04.842 W001.43.30.656
N048.04.06.318 W001.43.30.231
N048.04.07.073 W001.43.36.223
N048.04.05.611 W001.43.36.632

REGIONNAME LFRN AVISO
COLOR_Building N048.04.06.226 W001.43.37.496
N048.04.06.965 W001.43.37.281
N048.04.07.073 W001.43.38.138
N048.04.06.331 W001.43.38.353

REGIONNAME LFRN AVISO
COLOR_Building N048.04.07.128 W001.43.40.035
N048.04.06.673 W001.43.40.147
N048.04.06.620 W001.43.39.689
N048.04.06.782 W001.43.39.652
N048.04.06.766 W001.43.39.534
N048.04.06.897 W001.43.39.498
N048.04.06.825 W001.43.38.952
N048.04.07.169 W001.43.38.854
N048.04.07.152 W001.43.38.723
N048.04.07.398 W001.43.38.655
N048.04.07.444 W001.43.39.024
N048.04.07.402 W001.43.39.036
N048.04.07.571 W001.43.40.412
N048.04.07.183 W001.43.40.519

REGIONNAME LFRN AVISO
COLOR_Building N048.04.06.722 W001.43.42.110
N048.04.07.523 W001.43.41.885
N048.04.07.628 W001.43.42.753
N048.04.07.336 W001.43.42.831
N048.04.07.459 W001.43.43.853
N048.04.06.955 W001.43.43.982

REGIONNAME LFRN AVISO
COLOR_Building N048.04.07.272 W001.43.44.935
N048.04.07.682 W001.43.44.825
N048.04.07.663 W001.43.44.690
N048.04.07.814 W001.43.44.642
N048.04.08.184 W001.43.47.540
N048.04.07.625 W001.43.47.695

REGIONNAME LFRN AVISO
COLOR_Building N048.04.07.400 W001.43.49.242
N048.04.07.267 W001.43.49.285
N048.04.07.173 W001.43.48.563
N048.04.07.337 W001.43.48.480
N048.04.07.331 W001.43.48.435
N048.04.07.904 W001.43.48.162
N048.04.07.898 W001.43.48.107
N048.04.08.113 W001.43.48.008
N048.04.08.140 W001.43.48.210
N048.04.08.105 W001.43.48.221
N048.04.08.211 W001.43.48.984
N048.04.07.398 W001.43.49.208

REGIONNAME LFRN AVISO
COLOR_Building N048.04.02.684 W001.43.43.114
